customer_id,Tenure Months,Monthly Charges,Total Charges,Gender,Senior Citizen,Partner,Dependents,Phone Service,Multiple Lines,Internet Service,Online Security,Online Backup,Device Protection,Tech Support,Streaming TV,Streaming Movies,Contract,Paperless Billing,Payment Method
0001-GTOKH,25,95.45,2425.28,Male,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Month-to-Month,No,Credit Card
0002-UGZSW,56,106.54,6000.78,Female,No,Yes,No,Yes,No,Yes,No,No,Yes,No,No,Yes,Month-to-Month,Yes,Mailed Check
0003-KKXUD,33,76.59,2554.2,Male,No,No,No,Yes,Yes,Yes,No,No,No,No,No,Yes,One Year,Yes,Mailed Check
0004-HXCVU,38,84.83,3270.85,Male,No,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Two Year,No,Bank Withdrawal
0005-BXLFB,6,108.26,694.2,Female,No,Yes,Yes,Yes,No,Yes,Yes,No,No,Yes,No,Yes,One Year,No,Mailed Check
0006-UALZV,58,106.16,6169.09,Female,No,Yes,No,Yes,No,Yes,No,Yes,Yes,Yes,No,Yes,Month-to-Month,Yes,Credit Card
0007-LYQJP,44,90.95,4012.85,Female,No,No,No,Yes,No,Yes,No,No,No,No,Yes,No,One Year,No,Bank Withdrawal
0008-OOSLW,45,96.7,4376.56,Male,No,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,Yes,Yes,One Year,No,Credit Card
0009-TYCES,32,84.71,2753.14,Female,No,No,No,Yes,No,Yes,Yes,Yes,No,No,No,No,Month-to-Month,No,Credit Card
0010-GUIGR,45,66.58,3045.59,Male,Yes,Yes,No,No,No,Yes,Yes,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal
0011-DYNRZ,61,56.23,3446.05,Male,No,Yes,No,Yes,No,No,No,No,No,No,No,No,Month-to-Month,No,Credit Card
0012-IZUBT,47,87.37,4140.16,Female,No,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal
0013-OGLHO,21,60.43,1294.27,Female,No,Yes,No,Yes,No,No,No,No,No,No,No,No,Month-to-Month,No,Bank Withdrawal
0014-CNQDR,36,77.72,2846.72,Male,No,No,No,Yes,No,Yes,No,Yes,Yes,No,No,No,Month-to-Month,No,Credit Card
0015-HDBFV,19,109.1,2116.58,Male,No,No,No,Yes,Yes,Yes,No,No,No,Yes,No,No,Month-to-Month,No,Bank Withdrawal
0016-JDVRZ,20,109.52,2233.93,Female,No,No,No,Yes,No,Yes,No,Yes,No,Yes,No,Yes,Month-to-Month,No,Credit Card
0017-LBJDN,57,99.44,5696.83,Female,No,Yes,Yes,Yes,No,Yes,No,No,Yes,Yes,No,No,Two Year,No,Credit Card
0018-POHNW,18,58.76,1084.27,Female,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,Two Year,No,Credit Card
0019-YHUPM,47,85.83,4054.95,Male,No,Yes,No,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,Month-to-Month,Yes,Mailed Check
0020-ROUXZ,49,103.48,5082.78,Male,No,Yes,No,Yes,No,Yes,No,Yes,No,Yes,No,No,Two Year,Yes,Mailed Check
0021-YMIOM,14,83.97,1220.17,Male,Yes,No,No,No,No,Yes,No,Yes,Yes,No,Yes,No,One Year,Yes,Credit Card
0022-AYGIX,15,80.69,1252.87,Male,No,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No,Yes,Month-to-Month,No,Credit Card
0023-ALHXK,31,106.88,3363.27,Male,No,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,Month-to-Month,Yes,Bank Withdrawal
0024-SQHCC,1,53.79,103.66,Male,No,Yes,No,No,No,No,No,No,No,No,No,No,Month-to-Month,Yes,Credit Card
0025-AEJGZ,54,93.24,5067.18,Female,No,Yes,Yes,No,No,Yes,No,Yes,No,No,No,No,Month-to-Month,Yes,Credit Card
