customer_id,gender,age,under_30,senior_citizen,partner,dependents,number_of_dependents,country,state,city,zip_code,latitude,longitude,lat_long,phone_service,multiple_lines,internet_service,internet_type,online_security,online_backup,device_protection,tech_support,streaming_tv,streaming_movies,contract,paperless_billing,payment_method,monthly_charge,total_charges,cltv,customer_status,churn_label,churn_value,churn_score,churn_category,churn_reason,satisfaction_score
0001-ETXNI,Female,41,No,No,No,No,0,United States,California,Fresno,93721,36.754108,-119.797475,"""36.754108, -119.797475""",No,No,Yes,Fiber Optic,Yes,Yes,Yes,No,Yes,Yes,Month-to-Month,Yes,Mailed Check,69.50,4411.35,2693,Stayed,No,0,38,,,5
0002-YKRKP,Female,38,No,No,No,No,0,United States,California,Sacramento,95814,38.581234,-121.495392,"""38.581234, -121.495392""",Yes,Yes,No,None,No,No,No,No,No,No,Two Year,Yes,Mailed Check,49.94,3075.77,2390,Stayed,No,0,60,,,3
0003-ACRAD,Female,56,No,No,Yes,No,0,United States,California,San Francisco,94102,37.775175,-122.411929,"""37.775175, -122.411929""",Yes,No,Yes,Cable,Yes,Yes,Yes,No,Yes,Yes,Month-to-Month,Yes,Mailed Check,80.68,512.38,4492,Stayed,No,0,40,,,4
0004-NYLCS,Female,28,Yes,No,No,No,0,United States,California,San Jose,95113,37.342678,-121.897431,"""37.342678, -121.897431""",Yes,No,Yes,Cable,No,Yes,No,No,Yes,Yes,Two Year,Yes,Mailed Check,100.34,6165.72,6299,Churned,Yes,1,90,Price,Extra data charges were too high,1
0005-GXGBT,Female,51,No,No,Yes,No,0,United States,California,San Jose,95113,37.332943,-121.877269,"""37.332943, -121.877269""",Yes,Yes,Yes,Cable,No,No,No,Yes,No,No,Two Year,No,Mailed Check,92.90,3112.25,5187,Stayed,No,0,54,,,3
0006-IXGTO,Female,49,No,No,Yes,No,0,United States,California,Bakersfield,93301,35.382485,-119.001157,"""35.382485, -119.001157""",No,No,No,None,No,No,No,No,No,No,Two Year,No,Mailed Check,51.25,3320.81,3520,Stayed,No,0,23,,,5
0007-LJPGM,Female,67,No,Yes,No,No,0,United States,California,Bakersfield,93301,35.385772,-119.031126,"""35.385772, -119.031126""",No,No,Yes,Fiber Optic,Yes,Yes,No,No,Yes,No,Two Year,No,Credit Card,68.23,1796.78,4530,Stayed,No,0,63,,,3
0008-FULXY,Female,41,No,No,No,No,0,United States,California,Anaheim,92805,33.826989,-117.896326,"""33.826989, -117.896326""",No,No,No,None,No,No,No,No,No,No,One Year,No,Bank Withdrawal,56.83,3113.30,4979,Stayed,No,0,10,,,3
0009-NRLBV,Female,31,No,No,Yes,Yes,2,United States,California,San Diego,92101,32.720817,-117.168303,"""32.720817, -117.168303""",Yes,No,No,None,No,No,No,No,No,No,Month-to-Month,Yes,Credit Card,77.79,1519.95,6492,Churned,Yes,1,83,Attitude,Attitude of support person,2
0010-UQSLI,Male,35,No,No,Yes,Yes,2,United States,California,Glendale,91206,34.181407,-118.218414,"""34.181407, -118.218414""",Yes,Yes,No,None,No,No,No,No,No,No,Two Year,Yes,Credit Card,60.62,677.96,3947,Stayed,No,0,15,,,3
0011-VFSIE,Male,46,No,No,Yes,Yes,2,United States,California,San Jose,95113,37.322395,-121.875655,"""37.322395, -121.875655""",Yes,Yes,Yes,Cable,No,Yes,Yes,No,No,Yes,Month-to-Month,No,Mailed Check,80.13,91.75,3703,Joined,No,0,28,,,5
0012-QVEGC,Female,22,Yes,No,No,No,0,United States,California,San Diego,92101,32.728915,-117.143277,"""32.728915, -117.143277""",Yes,No,Yes,DSL,No,Yes,No,Yes,No,No,Two Year,Yes,Mailed Check,93.06,5335.06,5265,Churned,Yes,1,75,Competitor,Competitor offered higher download speeds,2
0013-UIMRN,Female,80,No,Yes,Yes,Yes,3,United States,California,Bakersfield,93301,35.360801,-119.037379,"""35.360801, -119.037379""",Yes,Yes,Yes,Cable,No,No,Yes,No,No,No,Two Year,Yes,Credit Card,104.85,1083.91,3102,Stayed,No,0,32,,,3
0014-VFTKF,Female,52,No,No,Yes,No,0,United States,California,Glendale,91206,34.163873,-118.217408,"""34.163873, -118.217408""",Yes,No,No,None,No,No,No,No,No,No,Two Year,Yes,Mailed Check,44.35,62.20,4581,Joined,No,0,54,,,5
0015-IIHYV,Female,56,No,No,No,No,0,United States,California,Los Angeles,90001,33.963282,-118.239324,"""33.963282, -118.239324""",No,No,Yes,Fiber Optic,Yes,No,Yes,No,No,Yes,One Year,No,Mailed Check,88.18,1017.96,4670,Stayed,No,0,39,,,3
0016-CJMWZ,Female,56,No,No,Yes,No,0,United States,California,Bakersfield,93301,35.354753,-119.012705,"""35.354753, -119.012705""",No,No,Yes,Cable,Yes,No,No,No,No,No,Month-to-Month,No,Credit Card,88.25,1346.82,6220,Stayed,No,0,35,,,3
0017-MYFPT,Male,56,No,No,No,No,0,United States,California,Anaheim,92805,33.821168,-117.916276,"""33.821168, -117.916276""",Yes,No,Yes,DSL,No,Yes,No,No,Yes,No,Two Year,No,Credit Card,106.79,7301.81,5323,Stayed,No,0,14,,,3
0018-FVKVE,Male,68,No,Yes,No,No,0,United States,California,Anaheim,92805,33.84039,-117.895363,"""33.84039, -117.895363""",Yes,No,No,None,No,No,No,No,No,No,Two Year,Yes,Bank Withdrawal,44.56,1717.98,2213,Churned,Yes,1,71,Competitor,Competitor offered higher download speeds,2
0019-EBWXU,Male,70,No,Yes,Yes,No,0,United States,California,Frazier Park,93225,34.843459,-119.00917,"""34.843459, -119.00917""",No,No,Yes,Fiber Optic,Yes,No,Yes,No,Yes,No,One Year,Yes,Mailed Check,89.74,5407.19,5073,Stayed,No,0,29,,,5
0020-RKDUI,Male,23,Yes,No,No,No,0,United States,California,Bakersfield,93301,35.392933,-119.009222,"""35.392933, -119.009222""",No,No,Yes,DSL,No,No,Yes,Yes,Yes,No,Two Year,Yes,Credit Card,83.64,702.07,5094,Stayed,No,0,25,,,3
0021-RRGGB,Female,77,No,Yes,No,No,0,United States,California,Bakersfield,93301,35.367674,-119.011406,"""35.367674, -119.011406""",Yes,Yes,Yes,Cable,No,Yes,Yes,No,No,No,Month-to-Month,No,Credit Card,109.17,4634.27,6201,Stayed,No,0,39,,,3
0022-HKRIQ,Male,33,No,No,No,No,0,United States,California,Los Angeles,90001,33.989986,-118.26331,"""33.989986, -118.26331""",No,No,No,None,No,No,No,No,No,No,One Year,Yes,Mailed Check,56.32,3028.47,2616,Stayed,No,0,35,,,5
0023-GDLYS,Female,74,No,Yes,No,No,0,United States,California,Oakland,94612,37.801911,-122.270996,"""37.801911, -122.270996""",Yes,No,Yes,DSL,No,No,No,No,Yes,Yes,Month-to-Month,Yes,Credit Card,101.19,5074.41,2987,Stayed,No,0,52,,,3
0024-DNNSQ,Female,74,No,Yes,No,No,0,United States,California,San Diego,92101,32.710252,-117.15516,"""32.710252, -117.15516""",No,No,No,None,No,No,No,No,No,No,Month-to-Month,No,Bank Withdrawal,46.01,3085.98,2449,Stayed,No,0,18,,,3
0025-URJHU,Male,22,Yes,No,No,No,0,United States,California,San Francisco,94102,37.797916,-122.407404,"""37.797916, -122.407404""",Yes,Yes,Yes,Cable,No,Yes,Yes,Yes,No,No,One Year,No,Bank Withdrawal,86.38,4184.90,6185,Stayed,No,0,22,,,5
